dx,opname,optype,approach,position,count
Early gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Supine,132
Lung cancer right,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,119
Gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,102
End stage renal disease,Kidney transplantation,Transplantation,Open,Supine,83
Lung cancer left,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,68
"Colon cancer, sigmoid",Anterior resection,Colorectal,Videoscopic,Lithotomy,62
Varicose vein of lower limb,Ligation and stripping,Vascular,Open,Supine,61
Infiltrating ductal carcinoma of breast right,Breast-conserving surgery,Breast,Open,Supine,58
Thyroid nodule,Thyroid lobectomy,Thyroid,Open,Supine,58
Early gastric cancer ,Distal gastrectomy,Stomach,Videoscopic,Supine,55
Inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,54
Thyroid nodule,Total thyroidectomy,Thyroid,Open,Supine,52
Breast cancer right,Breast-conserving surgery,Breast,Open,Supine,48
"Colon cancer, sigmoid",Anterior resection,Colorectal,Open,Lithotomy,42
Early gastric cancer,Pylorus preserving gastrectomy,Stomach,Videoscopic,Supine,41
"Colon cancer, ascending",Hemicolectomy,Colorectal,Open,Supine,41
Acute cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,40
Gallbladder polyp,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,40
Advanced gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Supine,37
Hepatocellular carcinoma,Liver transplantation,Transplantation,Open,Supine,35
Infiltrating ductal carcinoma of breast left,Breast-conserving surgery,Breast,Open,Supine,35
Living liver donor,Donor hepatectomy,Transplantation,Videoscopic,Lithotomy,33
Breast cancer left,Breast-conserving surgery,Breast,Open,Supine,32
Rectal cancer,Low anterior resection,Colorectal,Open,Lithotomy,31
Symptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,30
Rectal cancer,Ileostomy repair,Colorectal,Open,Supine,29
Incisional hernia,Incisional hernia repair,Colorectal,Open,Supine,29
Breast cancer unspecified side,Breast-conserving surgery,Breast,Open,Supine,28
Gallbladder polyp ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,27
Living liver donor,Donor hepatectomy,Transplantation,Videoscopic,Supine,27
Thyroid nodule ,Thyroid lobectomy,Thyroid,Open,Supine,27
Gallbladder stone,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,26
Advanced gastric cancer,Total gastrectomy,Stomach,Open,Supine,26
