opname,avg_duration_min,duration_bucket,n_samples
Abdominoperineal resection,301.3,3-6hr,15
Adhesiolysis,176.5,1-3hr,10
Adrenalectomy,165.3,1-3hr,23
Ampullectomy,170.0,1-3hr,1
Anal fistulotomy,78.5,<2hr,2
Aneurysmal repair,367.9,>6hr,7
Anterior resection,187.3,2-4hr,247
Aortofemoral bypass,370.0,>6hr,1
Aortoiliac bypass,357.2,3-6hr,15
Aortorenal bypass,352.5,3-6hr,4
Appendectomy,106.0,<2hr,56
Arteriovenous fistula,129.7,1-3hr,29
Arteriovenous fistula thrombectomy,196.3,2-4hr,6
Arteriovenous graft,213.5,2-4hr,2
Axillary lymph node dissection,87.8,<2hr,5
Bile duct anastomosis,310.0,3-6hr,1
Biopsy,103.0,<2hr,51
Bleeding control,153.6,1-3hr,33
Breast reconstruction,575.0,>6hr,1
Breast-conserving surgery,124.2,1-3hr,295
Bullectomy,106.1,<2hr,30
Cecectomy,155.8,1-3hr,4
Central pancreatectomy,221.0,2-4hr,1
Cervical esophagostomy,400.0,>6hr,1
Cesarean section,109.8,<2hr,23
Cholecystectomy,92.5,<2hr,503
Choledochal cyst excision,267.6,2-5hr,5
Choledochoscopic bile duct stone removal,82.0,<2hr,3
Clagett procedure,113.0,<2hr,4
Cleaning of wound,60.5,<2hr,2
Closure of arteriovenous fistula,122.5,1-3hr,4
Closure of bronchopleural fistula,298.0,2-5hr,1
Closure of wound,107.0,<2hr,13
Colostomy,114.5,<2hr,20
Colostomy repair,109.4,<2hr,5
Completion mastectomy,36.0,<1hr,1
Completion thyroidectomy,151.2,1-3hr,6
Debridement of wound,89.0,<2hr,38
Debulking surgery,264.7,2-5hr,19
Decortication,316.2,3-6hr,8
Delorme's operation,103.1,<2hr,8
Diagnostic laparoscopy,250.1,2-5hr,33
Diagnostic pelviscopy,156.0,1-3hr,1
Diagnostic procedure,150.0,1-3hr,1
Distal gastrectomy,286.8,2-5hr,342
Distal pancreatectomy,213.6,2-4hr,52
Diverticulectomy,283.0,2-5hr,1
Donor hepatectomy,383.8,>6hr,70
Donor nephrectomy,235.0,2-4hr,84
Electrocauterization,40.0,<1hr,1
Elosser operation,148.0,1-3hr,1
Embolectomy,224.1,2-4hr,11
Empyemectomy,243.0,2-5hr,3
Endarterectomy,299.0,2-5hr,14
Endovascular aneurysmal repair,242.4,2-5hr,7
Enucleation of esophageal tumor,215.0,2-4hr,2
Enucleation of pancreas,310.0,3-6hr,2
Esophagectomy,608.1,>6hr,18
