proc_id,proc_name,proc_category
1079004305,"CRANIOTOMY, WHILE AWAKE",AwakeCrani
1079003107,"BIOPSY, BRAIN, OPEN",BiopsyBrain
1079003269,"BIOPSY, BRAIN, STEREOTACTIC, USING COMPUTER-ASSISTED NAVIGATION",BiopsyBrain
1079003734,"BIOPSY, BRAIN, USING COSMAN-ROBERTS-WELLS FRAME, WITH STEREOTACTIC COMPUTED TOMOGRAPHY GUIDANCE",BiopsyBrain
1079002732,"CRANIOTOMY, FOR BIOPSY",BiopsyBrain
1079000576,"CRANIOTOMY, WITH BRAIN BIOPSY USING COMPUTER-ASSISTED NAVIGATION",BiopsyBrain
1079002635,"BIOPSY, MUSCLE",BiopsyMuscleNerve
1079000301,"BIOPSY, MUSCLE, LOWER EXTREMITY",BiopsyMuscleNerve
1079000303,"BIOPSY, MUSCLE, UPPER EXTREMITY",BiopsyMuscleNerve
1079000307,"BIOPSY, NERVE, LOWER EXTREMITY",BiopsyMuscleNerve
1071180002,"ENDARTERECTOMY, CAROTID",Carotid
1079000654,"ENDARTERECTOMY, CAROTID",Carotid
M-10894,"ENDARTERECTOMY, CAROTID",Carotid
M-14214,"Endarterectomy, Carotid",Carotid
1079000145,"ABLATION, NERVE, LOWER EXTREMITY",CategoriesPG
1079000001,"ABLATION, NERVE, UPPER EXTREMITY",CategoriesPG
1079000754,"DECOMPRESSION, NERVE, HEAD AND NECK REGION",CategoriesPG
1079000755,"DECOMPRESSION, NERVE, LOWER EXTREMITY",CategoriesPG
1079000756,"DECOMPRESSION, NERVE, MEDIAN",CategoriesPG
1079000763,"DECOMPRESSION, NERVE, RADIAL",CategoriesPG
1079000764,"DECOMPRESSION, NERVE, ULNAR",CategoriesPG
M-14906,"DECOMPRESSION, NERVE, ULNAR",CategoriesPG
1079001751,"NEURECTOMY, LOWER EXTREMITY",CategoriesPG
1079001752,"NEURECTOMY, UPPER EXTREMITY",CategoriesPG
1079003498,"REPAIR, NERVE, HAND",CategoriesPG
1079002346,"TRANSPOSITION, NERVE, HEAD AND NECK REGION",CategoriesPG
1079000579,"CRANIOTOMY, WITH EPILEPTOGENIC FOCUS EXCISION",CraniEpilepsy
1079002719,CRANIECTOMY OR CRANIOTOMY,CraniNoS
M-6431,CRANIECTOMY OR CRANIOTOMY,CraniNoS
M-2752,Craniotomy,CraniNoS
1079000558,CRANIOTOMY,CraniNoS
1079000559,"CRANIOTOMY, ANTERIOR CRANIAL FOSSA",CraniNoS
1079002806,"CRANIOTOMY, ENDOSCOPIC, FOR CYST FENESTRATION",CraniNoS
1079000561,"CRANIOTOMY, FOR ABSCESS DRAINAGE",CraniNoS
1079000564,"CRANIOTOMY, FOR BRAIN DECOMPRESSION",CraniNoS
1079002726,"CRANIOTOMY, WITH DEPRESSED SKULL FRACTURE ELEVATION",CraniNoS
1079000582,"CRANIOTOMY, WITH INSERTION OF VENTRICULAR CATHETER WITH RESERVOIR",CraniNoS
1079000585,"CRANIOTOMY, WITH INTRACRANIAL NEOPLASM EXCISION",CraniNoS
1079000586,"CRANIOTOMY, WITH INTRACRANIAL NEOPLASM EXCISION USING COMPUTER-ASSISTED NAVIGATION",CraniNoS
1079002718,"CRANIOTOMY, WITH NEOPLASM EXCISION",CraniNoS
1079000557,CRANIOPLASTY,Cranioplasty
M-5730,Cranioplasty,Cranioplasty
1079001980,"REMOVAL, BONE FLAP, SKULL",Cranioplasty
1079002734,"CRANIOTOMY, FOR INTRACRANIAL NEOPLASM EXCISION",CraniTumorNotSkullBase
1079002722,"CRANIOTOMY, FOR LESION EXCISION",CraniTumorNotSkullBase
1079000569,"CRANIOTOMY, FOR MENINGIOMA",CraniTumorNotSkullBase
1079002736,"CRANIOTOMY, FOR SUBOCCIPITAL NEOPLASM",CraniTumorSkullBase
1079000571,"CRANIOTOMY, POSTERIOR CRANIAL FOSSA",CraniTumorSkullBase
1079002720,"CRANIOTOMY, WITH ACOUSTIC NEUROMA EXCISION",CraniTumorSkullBase
1079000938,"EXCISION, ACOUSTIC NEUROMA",CraniTumorSkullBase
4963,"SECONDARY REPAIR OF DURA FOR CEREBROSPINAL FLUID LEAK, ANTERIOR,MIDDLE OR POSTERIOR CRANIAL FOSSA FOLLOWING SURGERY OF THE SKULL BASE; BY LOCAL OR REGIONALIZED VASCULARIZED PEDICLE FLAP OR MYOCUTANEO",CraniTumorSkullBase
M-3645,"SECONDARY REPAIR OF DURA FOR CEREBROSPINAL FLUID LEAK, ANTERIOR,MIDDLE OR POSTERIOR CRANIAL FOSSA FOLLOWING SURGERY OF THE SKULL BASE; BY LOCAL OR REGIONALIZED VASCULARIZED PEDICLE FLAP OR MYOCUTANEO",CraniTumorSkullBase
1079004176,"SURGICAL EXPOSURE, MIDDLE CRANIAL FOSSA, INFRATEMPORAL PREAURICULAR APPROACH",CraniTumorSkullBase
1079003256,"SURGICAL PROCEDURE, SKULL, BASE",CraniTumorSkullBase
1079000562,"CRANIOTOMY, FOR ANEURYSM REPAIR",CraniVessel
1079000563,"CRANIOTOMY, FOR ARTERIOVENOUS MALFORMATION",CraniVessel
1079002733,"CRANIOTOMY, FOR ARTERIOVENOUS MALFORMATION RESECTION",CraniVessel
1079000565,"CRANIOTOMY, FOR CAVERNOUS MALFORMATION",CraniVessel
1079002731,"CRANIOTOMY, WITH ANEURYSM CLIPPING",CraniVessel
1079002725,"CRANIOTOMY, WITH EDAS BYPASS CREATION",CraniVessel
1079000583,"CRANIOTOMY, WITH INTRACRANIAL ARTERY BYPASS CREATION",CraniVessel
1079002739,ENCEPHALODUROARTERIOSYNANGIOSIS,CraniVessel
1079003431,"CRANIOTOMY, WITH ELECTRODE LEAD INSERTION",ElectrodeLeadPlacement
1079000588,"CRANIOTOMY, WITH NEUROSTIMULATOR ELECTRODE LEAD INSERTION",ElectrodeLeadPlacement
1079003267,"INSERTION, ELECTRODE LEAD, DEEP BRAIN STIMULATOR, STAGE 1, STEREOTACTIC",ElectrodeLeadPlacement
1079001270,"INSERTION, ELECTRODE LEAD, NEUROSTIMULATOR, CRANIAL NERVE",ElectrodeLeadPlacement
1079001274,"INSERTION, ELECTRODE LEAD, NEUROSTIMULATOR, PERIPHERAL, HEAD AND NECK REGION",ElectrodeLeadPlacement
1079003277,"REMOVAL, DEPTH ELECTRODE LEAD, WITH STEREOTACTIC GUIDANCE",ElectrodeRemoval
1079002001,"REMOVAL, ELECTRODE LEAD, EEG, CRANIOTOMY APPROACH",ElectrodeRemoval
1079002002,"REMOVAL, ELECTRODE LEAD, EEG, INTRACEREBRAL",ElectrodeRemoval
1079002534,"VENTRICULOSTOMY, ENDOSCOPIC, USING COMPUTER-ASSISTED NAVIGATION",ETV
M-10540,"VENTRICULOSTOMY, ENDOSCOPIC, USING COMPUTER-ASSISTED NAVIGATION",ETV
1079002811,"VENTRICULOSTOMY, THIRD VENTRICLE, ENDOSCOPIC",ETV
1079000568,"CRANIOTOMY, FOR HEMATOMA EVACUATION",EvacSubduralHematoma
1079000433,"CREATION, CRANIAL BURR HOLE",EvacSubduralHematoma
1079000434,"CREATION, CRANIAL BURR HOLE, WITH HEMATOMA EVACUATION",EvacSubduralHematoma
1079002714,"CREATION, CRANIAL BURR HOLE, WITH SUBDURAL HEMATOMA EVACUATION",EvacSubduralHematoma
1079000466,"CREATION, SHUNT, VENTRICULOATRIAL",EVDShuntAndRevision
1079002860,"EXTERNALIZATION, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079001524,"INSERTION, SHUNT, LUMBOPERITONEAL",EVDShuntAndRevision
1079001526,"INSERTION, SHUNT, PLEUROPERITONEAL",EVDShuntAndRevision
1079003360,"INSERTION, SHUNT, VENTRICULOATRIAL OR VENTRICULOPERITONEAL",EVDShuntAndRevision
1079001529,"INSERTION, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079002858,"INSERTION, VENTRICULAR DRAIN, EXTERNAL",EVDShuntAndRevision
1079001856,"REMOVAL, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079002132,"REVISION, PROCEDURE INVOLVING VENTRICULOPLEURAL SHUNT",EVDShuntAndRevision
1079003793,"REVISION, SHUNT, LUMBOPERITONEAL",EVDShuntAndRevision
1079002353,"REVISION, SHUNT, VENTRICULOATRIAL",EVDShuntAndRevision
1079002354,"REVISION, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
