"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","132","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Lung cancer right","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","119","Major resection","70.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","102","Biliary/Pancreas","62.7","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"End stage renal disease","Kidney transplantation","Transplantation","Open","Supine","83","Transplantation","63.2","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Lung cancer left","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","68","Major resection","71.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, sigmoid","Anterior resection","Colorectal","Videoscopic","Lithotomy","62","Colorectal","72.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Varicose vein of lower limb","Ligation and stripping","Vascular","Open","Supine","61","Vascular","70.9","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Infiltrating ductal carcinoma of breast right","Breast-conserving surgery","Breast","Open","Supine","58","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Thyroid nodule","Thyroid lobectomy","Thyroid","Open","Supine","58","Thyroid","75.6","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","55","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
